Percentage Deviation,Objective Value
0,96116
1,99658.25394
2,103200.5079
3,106742.7618
4,110285.0158
5,113827.2697
6,117369.5236
7,120911.7776
8,124454.0315
9,127996.2855
10,131538.5394
11,135080.7933
12,138623.0473
13,142165.3012
14,145707.5552
15,149249.8091
16,152792.063
17,156334.317
18,159876.5709
19,163418.8248
20,166961.0788
21,170503.3327
22,174045.5867
23,177587.8406
24,181130.0945
25,184672.3485
26,188214.6024
27,191756.8564
28,195299.1103
29,198841.3642
30,202383.6182
31,205925.8721
32,209468.1261
33,213010.38
34,216552.6339
35,220094.8879
36,223637.1418
37,227179.3958
38,230721.6497
39,234263.9036
40,237806.1576
41,241348.4115
42,244890.6655
43,248432.9194
44,251975.1733
45,255517.4273
46,259059.6812
47,262601.9352
48,266144.1891
49,269686.443
50,273228.697
