iteration,value
0,5549832
1,5529863
2,5509895
3,5489940
4,5470069
5,5450228
6,5430416
7,5410649
8,5390926
9,5371256
10,5351605
11,5331996
12,5312398
13,5292823
14,5273281
15,5253745
16,5234225
17,5214721
18,5195226
19,5175741
20,5156262
21,5136843
22,5117425
23,5098014
24,5078603
25,5059195
26,5039798
27,5020461
28,5001176
29,4981941
30,4962718
31,4943511
32,4924312
33,4905135
34,4885974
35,4866838
36,4847746
37,4828684
38,4809652
39,4790623
40,4771630
41,4752667
42,4733735
43,4714809
44,4695924
45,4677043
46,4658175
47,4639353
48,4620655
49,4602001
50,4583500
51,4565018
52,4546554
53,4528098
54,4509655
55,4491252
56,4472875
57,4454526
58,4436235
59,4417954
60,4399682
61,4381415
62,4363194
63,4345147
64,4327163
65,4309181
66,4291211
67,4273286
68,4255415
69,4237570
70,4219775
71,4202002
72,4184324
73,4166685
74,4149064
75,4131444
76,4113841
77,4096245
78,4078652
79,4061131
80,4043627
81,4026142
82,4008780
83,3991476
84,3974175
85,3956880
86,3939617
87,3922371
88,3905134
89,3887911
90,3870693
91,3853591
92,3836525
93,3819468
94,3802452
95,3785448
96,3768550
97,3751660
98,3734802
99,3717981
100,3701198
101,3684445
102,3667696
103,3650994
104,3634319
105,3617646
106,3600991
107,3584347
108,3567706
109,3551088
110,3534477
111,3517881
112,3501317
113,3484862
114,3468416
115,3451978
116,3435621
117,3419277
118,3402949
119,3386685
120,3370425
121,3354194
122,3337975
123,3321773
124,3305593
125,3289513
126,3273445
127,3257446
128,3241460
129,3225483
130,3209507
131,3193549
132,3177592
133,3161663
134,3145805
135,3129993
136,3114218
137,3098472
138,3082738
139,3067060
140,3051389
141,3035779
142,3020170
143,3004567
144,2988974
145,2973424
146,2957881
147,2942386
148,2926945
149,2911551
150,2896225
151,2880926
152,2865647
153,2850370
154,2835136
155,2819943
156,2804753
157,2789564
158,2774484
159,2759462
160,2744448
161,2729444
162,2714470
163,2699504
164,2684566
165,2669645
166,2654725
167,2639893
168,2625061
169,2610236
170,2595425
171,2580648
172,2565914
173,2551257
174,2536645
175,2522122
176,2507630
177,2493150
178,2478695
179,2464261
180,2449838
181,2435423
182,2421009
183,2406656
184,2392317
185,2378015
186,2363755
187,2349502
188,2335263
189,2321059
190,2306879
191,2292741
192,2278622
193,2264561
194,2250606
195,2236676
196,2222755
197,2208862
198,2194974
199,2181122
200,2167325
201,2153547
202,2139779
203,2126044
204,2112320
205,2098600
206,2084945
207,2071413
208,2057881
209,2044360
210,2030840
211,2017339
212,2003866
213,1990464
214,1977063
215,1963680
216,1950312
217,1936947
218,1923610
219,1910324
220,1897084
221,1883870
222,1870817
223,1857790
224,1844812
225,1831852
226,1818906
227,1805982
228,1793073
229,1780164
230,1767273
231,1754417
232,1741582
233,1728760
234,1715961
235,1703170
236,1690505
237,1677887
238,1665281
239,1652696
240,1640141
241,1627592
242,1615162
243,1602767
244,1590390
245,1578019
246,1565650
247,1553293
248,1540964
249,1528841
250,1516792
251,1504783
252,1492823
253,1480888
254,1469013
255,1457151
256,1445330
257,1433523
258,1421751
259,1410038
260,1398348
261,1386785
262,1375240
263,1363722
264,1352209
265,1340805
266,1329418
267,1318069
268,1306813
269,1295651
270,1284543
271,1273475
272,1262477
273,1251568
274,1240723
275,1229905
276,1219133
277,1208382
278,1197685
279,1187068
280,1176522
281,1166054
282,1155606
283,1145208
284,1134839
285,1124575
286,1114392
287,1104253
288,1094178
289,1084144
290,1074156
291,1064200
292,1054255
293,1044381
294,1034577
295,1025035
296,1015563
297,1006222
298,996991
299,987913
300,978862
301,970124
302,961503
303,953269
304,945390
305,937731
306,930562
307,923979
308,918012
309,913018
310,909089
311,906813
312,905363
313,904503
314,904037
315,903684
316,903684
317,903684
318,903684
319,903684
320,903684
321,903684
322,903684
323,903684
324,903684
325,903684
326,903684
327,903684
328,903684
329,903684
330,903684
331,903684
332,903684
333,903684
334,903684
335,903684
336,903684
337,903684
338,903684
339,903684
340,903684
341,903684
342,903684
343,903684
344,903684
345,903684
346,903684
347,903684
348,903684
