p,wc realization,Type
0,96116.0,interval
0,96116.0,box
1,99622.83139999998,interval
1,99909.56381578204,box
2,103129.6628,interval
2,103869.84509554454,box    
3,106636.49419999999,interval
3,107954.67579549155,box
4,110143.3256,interval
4,112138.86148087704,box
5,113650.15700000006,interval
5,116404.7472051571,box
6,117156.98840000002,interval
6,120739.14866543456,box
7,120663.8198,interval
7,125131.84121573708,box
8,124170.65119999996,interval
8,129574.6878712108,box
9,127677.4826,interval
9,134061.08757805265,box
10,131184.31399999998,interval
10,138585.6041026577,box
11,134691.14540000004,interval
11,143143.70522662398,box
12,138197.97680000003,interval
12,147731.573306803,box
13,141704.80819999997,interval
13,152345.96406945417,box
14,145211.6396,interval
14,156984.0991396528,box
15,148718.47100000008,interval
15,161643.5828233315,box
16,152225.30240000002,interval
16,166322.3367234252,box
17,155732.13380000007,interval
17,171018.54772101928,box
18,159238.96519999998,interval
18,175730.6261352451,box
19,162745.7966,interval
19,180457.17174416583,box
20,166252.628,interval
20,185196.9459512474,box
21,169759.4594,interval
21,189948.84880855153,box
22,173266.29080000008,interval
22,194711.8999153442,box
23,176773.12220000004,interval
23,199485.22243612006,box
24,180279.9536,interval
24,204268.0296494429,box
25,183786.78499999997,interval
25,209059.61356493563,box
26,187293.61639999994,interval
26,213859.33524158644,box
27,190800.44779999997,interval
27,218666.61651420005,box
28,194307.2792,interval
28,223480.93289197903,box
29,197814.1106,interval
29,228301.807437956,box
30,201320.94200000013,interval
30,233128.80547327336,box
31,204827.77339999995,interval
31,237961.52997834748,box
32,208334.6048,interval
32,242799.6175853683,box
33,211841.43620000008,interval
33,247642.73507463903,box
34,215348.2676000001,interval
34,252490.5763018777,box
35,218855.09900000007,interval
35,257342.8594954945,box
36,222361.93039999995,interval
36,262199.3248725998,box
37,225868.7618000001,interval
37,267059.7325305105,box
38,229375.5932000001,interval
38,271923.86057712976,box
39,232882.4245999999,interval
39,276791.5034690768,box
40,236389.256,interval
40,281662.0617383815,box
41,239896.08740000008,interval
41,286528.7860554133,box
42,243402.9188,interval
42,291398.71181550587,box
43,246909.75019999995,interval
43,296271.67644943466,box
44,250416.58160000003,interval
44,301147.5281950187,box
45,253923.413,interval
45,306026.1252140368,box
46,257430.2444000001,interval
46,310907.3347944116,box
47,260937.07579999988,interval
47,315791.03262819676,box
48,264443.9071999999,interval
48,320677.1021570783,box
49,267950.73860000004,interval
49,325565.4339781266,box
50,271457.56999999995,interval
50,330455.9253034203,box
