Gamma,Robust Solution
0,96116
1,96359.67
2,96599.36
3,96833.82
4,97068.21
5,97299.93
6,97531.29
7,97760.57
8,97977.69
9,98191.78
10,98405.28
11,98612.77
12,98818.5
13,99024.23
14,99228.71
15,99432.85
16,99636.15
17,99838.43
18,100039.17
19,100238.22
20,100434.26
21,100630.12
22,100825.31
23,101020.21
24,101215.09
25,101409.93
26,101604.13
27,101798.05
28,101991.18
29,102184.08
30,102374.72
31,102564.32
32,102753.65
33,102942.3
34,103130.73
35,103318.93
36,103506.67
37,103694.08
38,103880.93
39,104066.53
40,104251.56
41,104435.33
42,104619.01
43,104802.6
44,104984.31
45,105165.74
46,105346.34
47,105525.47
48,105703.82
49,105881.55
50,106058.97
51,106236.38
52,106413.15
53,106589.17
54,106765.18
55,106941.13
56,107114.24
57,107287.29
58,107458.97
59,107629.67
60,107799.63
61,107966.85
62,108132.76
63,108295.89
64,108458.37
65,108620.67
66,108781.04
67,108940.95
68,109099.47
69,109257.49
70,109414.83
71,109571.02
72,109727.04
73,109880.91
74,110034.37
75,110185.28
76,110332.49
77,110479.66
78,110624.3
79,110768.86
80,110913.29
81,111057.63
82,111201.62
83,111344.84
84,111486.54
85,111628.13
86,111769.09
87,111909.66
88,112049.95
89,112187.58
90,112324.97
91,112460.5
92,112596
93,112730.89
94,112864.96
95,112998.25
96,113130.32
97,113260.89
98,113390.98
99,113520.78
100,113650.14
