set N := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 163 164 165 166 167 168 169 170 171 172 173 174 175 176 177 178 179 180 181 182 183 184 185 186 187 188 189 190 191 192 193 194 195 196 197 198 199 200 201 202 203 204 205 206 207 208 209 210 211 212 213 214 215 216 217 218 219 220 221 222 223 224 225 226 227 228 229 230 231 232 233 234 235 236 237 238 239 240 241 242 243 244 245 246 247 248 249 250 ;
set M := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 163 164 165 166 167 168 169 170 171 172 173 174 175 176 177 178 179 180 181 182 183 184 185 186 187 188 189 190 191 192 193 194 195 196 197 198 199 200 201 202 203 204 205 206 207 208 209 210 211 212 213 214 215 216 217 218 219 220 221 222 223 224 225 226 227 228 229 230 231 232 233 234 235 236 237 238 239 240 241 242 243 244 245 246 247 248 249 250 ;
param d :=
1 1 1810
1 2 1896
1 3 1873
1 4 1843
1 5 1907
1 6 1255
1 7 1705
1 8 1037
1 9 1017
1 10 1600
1 11 1414
1 12 1372
1 13 1527
1 14 1801
1 15 1797
1 16 1749
1 17 1377
1 18 1606
1 19 1393
1 20 1691
1 21 1094
1 22 1673
1 23 1024
1 24 1838
1 25 1909
1 26 1332
1 27 1132
1 28 1083
1 29 1998
1 30 1990
1 31 1180
1 32 1480
1 33 1374
1 34 1589
1 35 1909
1 36 1598
1 37 1453
1 38 1017
1 39 1734
1 40 1462
1 41 1846
1 42 1879
1 43 1049
1 44 1759
1 45 1379
1 46 1536
1 47 1739
1 48 1440
1 49 1902
1 50 1820
1 51 1655
1 52 1395
1 53 1899
1 54 1328
1 55 1366
1 56 1343
1 57 1436
1 58 1700
1 59 1944
1 60 1599
1 61 1477
1 62 1792
1 63 1067
1 64 1884
1 65 1104
1 66 1150
1 67 1233
1 68 1808
1 69 1666
1 70 1681
1 71 1355
1 72 1212
1 73 1389
1 74 1945
1 75 1525
1 76 1009
1 77 1488
1 78 1961
1 79 1220
1 80 1677
1 81 1291
1 82 1932
1 83 1740
1 84 1075
1 85 1438
1 86 1807
1 87 1159
1 88 1725
1 89 1646
1 90 1077
1 91 1558
1 92 1221
1 93 1113
1 94 1712
1 95 1841
1 96 1921
1 97 1063
1 98 1646
1 99 1893
1 100 1582
1 101 1469
1 102 1724
1 103 1387
1 104 1087
1 105 1497
1 106 1500
1 107 1991
1 108 1925
1 109 1692
1 110 1812
1 111 1285
1 112 1579
1 113 1436
1 114 1525
1 115 1151
1 116 1479
1 117 1712
1 118 1354
1 119 1922
1 120 1676
1 121 1716
1 122 1180
1 123 1076
1 124 1891
1 125 1323
1 126 1749
1 127 1746
1 128 1101
1 129 1966
1 130 1177
1 131 1843
1 132 1310
1 133 1942
1 134 1156
1 135 1050
1 136 1669
1 137 1675
1 138 1275
1 139 1500
1 140 1594
1 141 1987
1 142 1356
1 143 1382
1 144 1049
1 145 1879
