set N := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 163 164 165 166 167 168 169 170 171 172 173 174 175 176 177 178 179 180 181 182 183 184 185 186 187 188 189 190 191 192 193 194 195 196 197 198 199 200 201 202 203 204 205 206 207 208 209 210 211 212 213 214 215 216 217 218 219 220 221 222 223 224 225 226 227 228 229 230 231 232 233 234 235 236 237 238 239 240 241 242 243 244 245 246 247 248 249 250 ;
set M := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 163 164 165 166 167 168 169 170 171 172 173 174 175 176 177 178 179 180 181 182 183 184 185 186 187 188 189 190 191 192 193 194 195 196 197 198 199 200 201 202 203 204 205 206 207 208 209 210 211 212 213 214 215 216 217 218 219 220 221 222 223 224 225 226 227 228 229 230 231 232 233 234 235 236 237 238 239 240 241 242 243 244 245 246 247 248 249 250 ;
param d :=
1 1 1133
1 2 1009
1 3 1873
1 4 1088
1 5 1663
1 6 1859
1 7 1265
1 8 1281
1 9 1387
1 10 1551
1 11 1272
1 12 1994
1 13 1105
1 14 1631
1 15 1913
1 16 1687
1 17 1401
1 18 1953
1 19 1300
1 20 1509
1 21 1863
1 22 1155
1 23 1819
1 24 1895
1 25 1911
1 26 1291
1 27 1873
1 28 1451
1 29 1782
1 30 1000
1 31 1988
1 32 1766
1 33 1696
1 34 1137
1 35 1548
1 36 1337
1 37 1734
1 38 1267
1 39 1946
1 40 1229
1 41 1459
1 42 1918
1 43 1436
1 44 1653
1 45 1814
1 46 1019
1 47 1460
1 48 1111
1 49 1329
1 50 1409
1 51 1735
1 52 1247
1 53 1156
1 54 1833
1 55 1886
1 56 1097
1 57 1989
1 58 1341
1 59 1891
1 60 1849
1 61 1370
1 62 1470
1 63 1142
1 64 1811
1 65 1433
1 66 1146
1 67 1381
1 68 1714
1 69 1613
1 70 1683
1 71 1307
1 72 1021
1 73 1342
1 74 1814
1 75 1128
1 76 1395
1 77 1280
1 78 1135
1 79 1842
1 80 1975
1 81 1090
1 82 1886
1 83 1531
1 84 1634
1 85 1318
1 86 1459
1 87 1438
1 88 1853
1 89 1372
1 90 1563
1 91 1127
1 92 1385
1 93 1169
1 94 1425
1 95 1487
1 96 1354
1 97 1455
1 98 1949
1 99 1878
1 100 1955
1 101 1337
1 102 1245
1 103 1185
1 104 1400
1 105 1063
1 106 1410
1 107 1079
1 108 1276
1 109 1577
1 110 1000
1 111 1248
1 112 1967
1 113 1877
1 114 1065
1 115 1893
1 116 1297
1 117 1715
1 118 1187
1 119 1264
1 120 1047
1 121 1663
1 122 1397
1 123 1514
1 124 1508
1 125 1085
1 126 1399
1 127 1664
1 128 1725
1 129 1030
1 130 1995
1 131 1948
1 132 1580
1 133 1599
1 134 1122
1 135 1321
1 136 1387
1 137 1803
1 138 1412
1 139 1425
1 140 1136
1 141 1439
1 142 1664
1 143 1771
1 144 1055
1 145 1034
1 146 1159
1 147 1437
1 148 1646
1 149 1368
1 150 1202
1 151 1060
1 152 1842
1 153 1624
1 154 1813
1 155 1393
1 156 1448
1 157 1678
1 158 1962
1 159 1220
1 160 1531
1 161 1581
1 162 1260
1 163 1908
1 164 1889
1 165 1751
1 166 1516
1 167 1365
