set N := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 163 164 165 166 167 168 169 170 171 172 173 174 175 176 177 178 179 180 181 182 183 184 185 186 187 188 189 190 191 192 193 194 195 196 197 198 199 200 201 202 203 204 205 206 207 208 209 210 211 212 213 214 215 216 217 218 219 220 221 222 223 224 225 226 227 228 229 230 231 232 233 234 235 236 237 238 239 240 241 242 243 244 245 246 247 248 249 250 ;
set M := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 163 164 165 166 167 168 169 170 171 172 173 174 175 176 177 178 179 180 181 182 183 184 185 186 187 188 189 190 191 192 193 194 195 196 197 198 199 200 201 202 203 204 205 206 207 208 209 210 211 212 213 214 215 216 217 218 219 220 221 222 223 224 225 226 227 228 229 230 231 232 233 234 235 236 237 238 239 240 241 242 243 244 245 246 247 248 249 250 ;
param d :=
1 1 1696
1 2 1309
1 3 1488
1 4 1235
1 5 1621
1 6 1657
1 7 1248
1 8 1025
1 9 1608
1 10 1930
1 11 1806
1 12 1978
1 13 1584
1 14 1332
1 15 1097
1 16 1157
1 17 1272
1 18 1469
1 19 1480
1 20 1447
1 21 1616
1 22 1194
1 23 1833
1 24 1408
1 25 1861
1 26 1500
1 27 1496
1 28 1564
1 29 1311
1 30 1368
1 31 1352
1 32 1281
1 33 1299
1 34 1976
1 35 1826
1 36 1912
1 37 1406
1 38 1178
1 39 1073
1 40 1337
1 41 1450
1 42 1654
1 43 1155
1 44 1570
1 45 1283
1 46 1641
1 47 1470
1 48 1594
1 49 1932
1 50 1649
1 51 1225
1 52 1064
1 53 1098
1 54 1073
1 55 1233
1 56 1048
1 57 1564
1 58 1103
1 59 1809
1 60 1455
1 61 1534
1 62 1835
1 63 1055
1 64 1312
1 65 1428
1 66 1996
1 67 1308
1 68 1541
1 69 1182
1 70 1189
1 71 1039
1 72 1392
1 73 1562
1 74 1060
1 75 1976
1 76 1194
1 77 1543
1 78 1292
1 79 1738
1 80 1576
1 81 1274
1 82 1840
1 83 1763
1 84 1812
1 85 1658
1 86 1307
1 87 1807
1 88 1456
1 89 1088
1 90 1864
1 91 1793
1 92 1906
1 93 1362
1 94 1638
1 95 1299
1 96 1073
1 97 1308
1 98 1945
1 99 1459
1 100 1801
1 101 1162
1 102 1301
1 103 1565
1 104 1187
1 105 1208
1 106 1607
1 107 1143
1 108 1475
1 109 1741
1 110 1406
1 111 1795
1 112 1668
1 113 1850
1 114 1636
1 115 1571
1 116 1511
1 117 1087
1 118 1770
1 119 1177
1 120 1019
1 121 1525
1 122 1756
1 123 1777
1 124 1181
1 125 1250
1 126 1661
1 127 1682
1 128 1020
1 129 1820
1 130 1430
1 131 1707
1 132 1651
1 133 1715
1 134 1656
1 135 1473
1 136 1497
1 137 1310
1 138 1783
1 139 1439
1 140 1318
1 141 1410
1 142 1630
1 143 1942
1 144 1216
1 145 1870
1 146 1657
1 147 1031
1 148 1261
1 149 1334
1 150 1872
1 151 1370
1 152 1904
1 153 1623
1 154 1784
1 155 1994
1 156 1826
1 157 1810
1 158 1319
1 159 1208
1 160 1390
1 161 1502
1 162 1088
1 163 1389
1 164 1334
1 165 1367
1 166 1926
1 167 1996
1 168 1881
1 169 1442
1 170 1109
1 171 1551
1 172 1911
1 173 1240
1 174 1146
1 175 1888
1 176 1350
1 177 1199
1 178 1557
1 179 1434
1 180 1445
1 181 1500
1 182 1549
1 183 1819
1 184 1059
1 185 1786
1 186 1985
1 187 1587
1 188 1670
1 189 1810
1 190 1559
1 191 1289
1 192 1202
1 193 1546
1 194 1589
1 195 1749
1 196 1372
1 197 1801
1 198 1317
1 199 1770
1 200 1678
1 201 1839
1 202 1139
1 203 1073
1 204 1720
1 205 1077
1 206 1667
1 207 1745
1 208 1978
1 209 1359
1 210 1022
1 211 1974
1 212 1725
1 213 1847
1 214 1274
1 215 1366
1 216 1214
1 217 1076
1 218 1426
1 219 1601
1 220 1820
1 221 1173
1 222 1859
1 223 1739
1 224 1257
1 225 1803
1 226 1634
1 227 1933
1 228 1568
1 229 1853
1 230 1563
1 231 1838
1 232 1007
1 233 1388
1 234 1453
1 235 1505
1 236 1495
1 237 1924
1 238 1435
1 239 1032
1 240 1792
1 241 1527
1 242 1767
1 243 1754
1 244 1046
1 245 1791
1 246 1046
1 247 1255
1 248 1881
1 249 1209
1 250 1206
2 1 1309
2 2 1666
2 3 1980
2 4 1227
2 5 1783
2 6 1135
2 7 1779
2 8 1953
2 9 1998
2 10 1009
2 11 1519
2 12 1931
2 13 1650
2 14 1772
2 15 1636
2 16 1669
2 17 1254
2 18 1268
2 19 1938
2 20 1225
2 21 1677
2 22 1263
2 23 1539
2 24 1539
2 25 1781
2 26 1635
2 27 1904
2 28 1398
2 29 1141
2 30 1351
2 31 1558
2 32 1455
2 33 1615
2 34 1880
2 35 1468
2 36 1203
2 37 1050
2 38 1199
2 39 1637
2 40 1310
2 41 1904
2 42 1060
2 43 1949
2 44 1220
2 45 1061
2 46 1654
2 47 1782
2 48 1430
2 49 1633
2 50 1349
2 51 1435
2 52 1343
2 53 1012
2 54 1644
2 55 1884
2 56 1117
2 57 1970
2 58 1998
2 59 1915
2 60 1394
2 61 1081
2 62 1698
2 63 1154
2 64 1335
2 65 1240
2 66 1414
2 67 1029
2 68 1860
2 69 1574
2 70 1593
2 71 1194
2 72 1500
2 73 1519
2 74 1369
2 75 1449
2 76 1760
2 77 1334
2 78 1117
2 79 1686
2 80 1414
2 81 1860
2 82 1332
2 83 1885
2 84 1627
2 85 1774
2 86 1969
2 87 1709
2 88 1312
2 89 1142
2 90 1923
2 91 1709
2 92 1629
2 93 1541
2 94 1777
2 95 1682
2 96 1038
2 97 1538
2 98 1501
2 99 1212
2 100 1800
2 101 1798
2 102 1242
2 103 1926
2 104 1347
2 105 1616
2 106 1865
2 107 1484
2 108 1409
2 109 1137
2 110 1408
2 111 1861
2 112 1329
2 113 1061
2 114 1090
2 115 1916
2 116 1445
2 117 1109
2 118 1055
2 119 1818
2 120 1963
2 121 1023
2 122 1481
2 123 1327
2 124 1229
2 125 1392
2 126 1224
2 127 1483
2 128 1788
2 129 1087
2 130 1657
2 131 1724
2 132 1158
2 133 1570
2 134 1852
2 135 1963
2 136 1708
2 137 1876
2 138 1759
2 139 1673
2 140 1561
2 141 1543
2 142 1552
2 143 1476
2 144 1916
2 145 1267
2 146 1780
2 147 1310
2 148 1695
2 149 1568
2 150 1499
2 151 1669
2 152 1943
2 153 1246
2 154 1021
2 155 1967
2 156 1851
2 157 1912
2 158 1455
2 159 1557
2 160 1840
2 161 1372
2 162 1678
2 163 1424
2 164 1597
2 165 1143
2 166 1911
2 167 1094
2 168 1471
2 169 1884
2 170 1542
2 171 1791
2 172 1139
2 173 1035
2 174 1357
2 175 1360
2 176 1943
2 177 1417
2 178 1838
2 179 1009
2 180 1810
2 181 1108
2 182 1678
2 183 1378
2 184 1157
2 185 1350
2 186 1177
2 187 1983
2 188 1685
2 189 1785
2 190 1670
2 191 1558
2 192 1481
2 193 1784
2 194 1640
2 195 1332
2 196 1316
2 197 1178
2 198 1687
2 199 1762
2 200 1556
2 201 1134
2 202 1986
2 203 1769
2 204 1596
2 205 1498
2 206 1414
2 207 1993
2 208 1214
2 209 1353
2 210 1982
2 211 1107
2 212 1752
2 213 1092
2 214 1752
2 215 1717
2 216 1538
2 217 1782
2 218 1861
2 219 1884
2 220 1450
2 221 1100
2 222 1847
2 223 1797
2 224 1029
2 225 1620
2 226 1904
2 227 1621
2 228 1041
2 229 1741
2 230 1232
2 231 1066
2 232 1912
2 233 1023
2 234 1146
2 235 1697
2 236 1919
2 237 1226
2 238 1091
2 239 1516
2 240 1562
2 241 1827
2 242 1212
2 243 1857
2 244 1013
2 245 1291
2 246 1661
2 247 1113
2 248 1053
2 249 1893
2 250 1268
3 1 1488
3 2 1980
3 3 1398
3 4 1354
3 5 1749
3 6 1240
3 7 1831
3 8 1083
3 9 1107
3 10 1621
3 11 1032
3 12 1306
3 13 1374
3 14 1763
3 15 1522
3 16 1857
3 17 1357
3 18 1818
3 19 1624
3 20 1919
3 21 1540
3 22 1723
3 23 1852
3 24 1494
3 25 1808
3 26 1667
3 27 1619
3 28 1880
3 29 1128
3 30 1651
3 31 1698
3 32 1940
3 33 1874
3 34 1164
3 35 1310
3 36 1449
3 37 1917
3 38 1511
3 39 1269
3 40 1283
3 41 1173
3 42 1820
3 43 1079
3 44 1752
3 45 1729
3 46 1265
3 47 1398
3 48 1847
3 49 1235
3 50 1534
3 51 1760
3 52 1682
3 53 1695
3 54 1066
3 55 1978
3 56 1918
3 57 1331
3 58 1102
3 59 1125
3 60 1441
3 61 1656
3 62 1072
3 63 1504
3 64 1089
3 65 1435
3 66 1345
3 67 1501
3 68 1695
3 69 1675
3 70 1890
3 71 1753
3 72 1236
3 73 1303
3 74 1859
3 75 1504
3 76 1364
3 77 1689
3 78 1641
3 79 1585
3 80 1110
3 81 1677
3 82 1400
3 83 1905
3 84 1028
3 85 1270
3 86 1652
3 87 1868
3 88 1567
3 89 1625
3 90 1883
3 91 1619
3 92 1964
3 93 1529
3 94 1771
3 95 1528
3 96 1410
3 97 1991
3 98 1013
3 99 1816
3 100 1807
3 101 1128
3 102 1312
3 103 1726
3 104 1863
3 105 1980
3 106 1539
3 107 1159
3 108 1834
3 109 1428
3 110 1615
3 111 1158
3 112 1670
3 113 1864
3 114 1131
3 115 1171
3 116 1873
3 117 1760
3 118 1245
3 119 1481
3 120 1817
3 121 1815
3 122 1888
3 123 1719
3 124 1842
3 125 1813
3 126 1803
3 127 1864
3 128 1879
3 129 1861
3 130 1461
3 131 1630
3 132 1905
3 133 1161
3 134 1369
3 135 1663
3 136 1994
3 137 1970
3 138 1814
3 139 1428
3 140 1259
3 141 1905
3 142 1569
3 143 1224
3 144 1457
3 145 1254
3 146 1595
3 147 1199
3 148 1544
3 149 1441
3 150 1266
3 151 1805
3 152 1950
3 153 1304
3 154 1148
3 155 1574
3 156 1878
3 157 1354
3 158 1876
3 159 1631
3 160 1381
3 161 1645
3 162 1136
3 163 1852
3 164 1518
3 165 1442
3 166 1310
3 167 1068
3 168 1362
3 169 1319
3 170 1795
3 171 1228
3 172 1144
3 173 1856
3 174 1540
3 175 1920
3 176 1307
3 177 1590
3 178 1819
3 179 1162
3 180 1770
3 181 1371
3 182 1791
3 183 1862
3 184 1152
3 185 1781
3 186 1856
3 187 1866
3 188 1277
3 189 1781
3 190 1356
3 191 1986
3 192 1703
3 193 1226
3 194 1641
3 195 1920
3 196 1579
3 197 1419
3 198 1039
3 199 1477
3 200 1609
3 201 1353
3 202 1752
3 203 1003
3 204 1399
3 205 1800
3 206 1221
3 207 1416
3 208 1963
3 209 1894
3 210 1984
3 211 1764
3 212 1688
3 213 1390
3 214 1552
3 215 1703
3 216 1518
3 217 1214
3 218 1355
3 219 1807
3 220 1655
3 221 1504
3 222 1264
3 223 1111
3 224 1542
3 225 1767
3 226 1737
3 227 1804
3 228 1428
3 229 1322
3 230 1117
3 231 1459
3 232 1282
3 233 1683
3 234 1107
3 235 1732
3 236 1341
3 237 1036
3 238 1963
3 239 1912
3 240 1073
3 241 1471
3 242 1427
3 243 1242
3 244 1842
3 245 1117
3 246 1938
3 247 1413
3 248 1049
3 249 1851
3 250 1149
4 1 1235
4 2 1227
4 3 1354
4 4 1030
4 5 1712
4 6 1278
4 7 1224
4 8 1499
4 9 1713
4 10 1340
4 11 1004
4 12 1812
4 13 1162
4 14 1761
4 15 1612
4 16 1835
4 17 1198
4 18 1442
4 19 1925
4 20 1693
4 21 1647
4 22 1772
4 23 1641
4 24 1192
4 25 1904
4 26 1645
4 27 1362
4 28 1182
4 29 1956
4 30 1996
4 31 1104
4 32 1650
4 33 1223
4 34 1895
4 35 1139
4 36 1828
4 37 1379
4 38 1734
4 39 1571
4 40 1082
4 41 1789
4 42 1522
4 43 1555
4 44 1883
4 45 1732
4 46 1844
4 47 1566
4 48 1626
4 49 1068
4 50 1492
4 51 1620
4 52 1584
4 53 1495
4 54 1309
4 55 1864
4 56 1781
4 57 1062
4 58 1286
4 59 1422
4 60 1062
4 61 1087
4 62 1425
4 63 1924
4 64 1135
4 65 1142
4 66 1410
4 67 1612
4 68 1882
4 69 1257
4 70 1620
4 71 1432
4 72 1707
4 73 1002
4 74 1513
4 75 1019
4 76 1201
4 77 1604
4 78 1897
4 79 1982
4 80 1921
4 81 1746
4 82 1150
4 83 1391
4 84 1549
4 85 1223
4 86 1894
4 87 1877
4 88 1208
4 89 1091
4 90 1159
4 91 1251
4 92 1245
4 93 1476
4 94 1584
4 95 1048
4 96 1222
4 97 1700
4 98 1662
4 99 1894
4 100 1431
4 101 1880
4 102 1585
4 103 1115
4 104 1692
4 105 1641
4 106 1696
4 107 1492
4 108 1729
4 109 1133
4 110 1103
4 111 1554
4 112 1894
4 113 1966
4 114 1466
4 115 1339
4 116 1530
4 117 1258
4 118 1501
4 119 1003
4 120 1747
4 121 1421
4 122 1226
4 123 1211
4 124 1899
4 125 1867
4 126 1487
4 127 1686
4 128 1537
4 129 1273
4 130 1781
4 131 1854
4 132 1119
4 133 1564
4 134 1930
4 135 1962
4 136 1266
4 137 1276
4 138 1614
4 139 1599
4 140 1840
4 141 1456
4 142 1307
4 143 1005
4 144 1622
4 145 1744
4 146 1646
4 147 1099
4 148 1874
4 149 1804
4 150 1762
4 151 1602
4 152 1577
4 153 1761
4 154 1607
4 155 1192
4 156 1599
4 157 1788
4 158 1803
4 159 1077
4 160 1611
4 161 1516
4 162 1048
4 163 1892
4 164 1997
4 165 1406
4 166 1616
4 167 1346
4 168 1561
4 169 1757
4 170 1964
4 171 1498
4 172 1311
4 173 1490
4 174 1005
4 175 1091
4 176 1089
4 177 1374
4 178 1049
4 179 1836
4 180 1337
4 181 1850
4 182 1964
4 183 1059
4 184 1784
4 185 1103
4 186 1577
4 187 1619
4 188 1325
4 189 1547
4 190 1860
4 191 1491
4 192 1882
4 193 1365
4 194 1905
4 195 1939
4 196 1522
4 197 1285
4 198 1257
4 199 1669
4 200 1616
4 201 1217
4 202 1600
4 203 1878
4 204 1327
4 205 1932
4 206 1353
4 207 1597
4 208 1187
4 209 1434
4 210 1195
4 211 1246
4 212 1078
4 213 1164
4 214 1049
4 215 1795
4 216 1361
4 217 1720
4 218 1569
4 219 1445
4 220 1465
4 221 1231
4 222 1639
4 223 1231
4 224 1694
4 225 1039
4 226 1946
4 227 1457
4 228 1558
4 229 1860
4 230 1125
4 231 1368
4 232 1378
4 233 1068
4 234 1531
4 235 1959
4 236 1476
4 237 1264
4 238 1161
4 239 1341
4 240 1713
4 241 1783
4 242 1757
4 243 1557
4 244 1664
4 245 1296
4 246 1620
4 247 1259
4 248 1207
4 249 1166
4 250 1169
5 1 1621
5 2 1783
5 3 1749
5 4 1712
5 5 1810
5 6 1713
5 7 1780
5 8 1629
5 9 1297
5 10 1036
5 11 1925
5 12 1439
5 13 1375
5 14 1570
5 15 1149
5 16 1906
5 17 1697
5 18 1005
5 19 1924
5 20 1491
5 21 1755
5 22 1745
5 23 1897
5 24 1173
5 25 1370
5 26 1561
5 27 1566
5 28 1529
5 29 1068
5 30 1578
5 31 1930
5 32 1934
5 33 1127
5 34 1276
5 35 1123
5 36 1768
5 37 1562
5 38 1642
5 39 1578
5 40 1051
5 41 1848
5 42 1138
5 43 1748
5 44 1411
5 45 1649
5 46 1639
5 47 1912
5 48 1783
5 49 1332
5 50 1004
5 51 1102
5 52 1758
5 53 1568
5 54 1419
5 55 1683
5 56 1971
5 57 1768
5 58 1189
5 59 1608
5 60 1451
5 61 1670
5 62 1123
5 63 1894
5 64 1333
5 65 1831
5 66 1167
5 67 1332
5 68 1831
5 69 1325
5 70 1453
5 71 1985
5 72 1892
5 73 1409
5 74 1405
5 75 1482
5 76 1427
5 77 1461
5 78 1070
5 79 1655
5 80 1527
5 81 1948
5 82 1323
5 83 1543
5 84 1574
5 85 1722
5 86 1108
5 87 1299
5 88 1649
5 89 1422
5 90 1370
5 91 1027
5 92 1146
5 93 1253
5 94 1823
5 95 1078
5 96 1999
5 97 1938
5 98 1235
5 99 1852
5 100 1423
5 101 1112
5 102 1359
5 103 1608
5 104 1579
5 105 1950
5 106 1182
5 107 1347
5 108 1075
5 109 1301
5 110 1647
5 111 1275
5 112 1697
5 113 1114
5 114 1499
5 115 1882
5 116 1282
5 117 1434
5 118 1418
5 119 1182
5 120 1147
5 121 1756
5 122 1086
5 123 1120
5 124 1965
5 125 1011
5 126 1355
5 127 1709
5 128 1508
5 129 1970
5 130 1161
5 131 1896
5 132 1154
5 133 1340
5 134 1356
5 135 1710
5 136 1570
5 137 1345
5 138 1092
5 139 1720
5 140 1474
5 141 1064
5 142 1935
5 143 1325
5 144 1885
5 145 1308
5 146 1352
5 147 1911
5 148 1760
5 149 1323
5 150 1734
5 151 1422
5 152 1441
5 153 1096
5 154 1603
5 155 1344
5 156 1794
5 157 1541
5 158 1173
5 159 1667
5 160 1467
5 161 1359
5 162 1904
5 163 1834
5 164 1168
5 165 1835
5 166 1220
5 167 1213
5 168 1355
5 169 1377
5 170 1041
5 171 1136
5 172 1273
5 173 1050
5 174 1281
5 175 1013
5 176 1712
5 177 1912
5 178 1983
5 179 1577
5 180 1415
5 181 1418
5 182 1223
5 183 1769
5 184 1535
5 185 1678
5 186 1468
5 187 1310
5 188 1046
5 189 1847
5 190 1517
5 191 1490
5 192 1514
5 193 1439
5 194 1706
5 195 1191
5 196 1136
5 197 1827
5 198 1510
5 199 1692
5 200 1455
5 201 1732
5 202 1215
5 203 1282
5 204 1653
5 205 1966
5 206 1815
5 207 1206
5 208 1833
5 209 1216
5 210 1774
5 211 1984
5 212 1185
5 213 1153
5 214 1834
5 215 1626
5 216 1466
5 217 1643
5 218 1506
5 219 1786
5 220 1669
5 221 1340
5 222 1405
5 223 1371
5 224 1317
5 225 1453
5 226 1089
5 227 1649
5 228 1263
5 229 1953
5 230 1563
5 231 1380
5 232 1421
5 233 1005
5 234 1083
5 235 1006
5 236 1327
5 237 1927
5 238 1444
5 239 1425
5 240 1932
5 241 1416
5 242 1388
5 243 1391
5 244 1541
5 245 1368
5 246 1298
5 247 1055
5 248 1301
5 249 1037
5 250 1828
6 1 1657
6 2 1135
6 3 1240
6 4 1278
6 5 1713
6 6 1141
6 7 1836
6 8 1636
6 9 1161
6 10 1578
6 11 1551
6 12 1858
6 13 1047
6 14 1285
6 15 1255
6 16 1501
6 17 1167
6 18 1837
6 19 1697
6 20 1394
6 21 1309
6 22 1537
6 23 1451
6 24 1860
6 25 1849
6 26 1725
6 27 1613
6 28 1770
6 29 1216
6 30 1483
