set N := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 ;
set M := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 ;
param d :=
1 1 0
1 2 5521
1 3 5610
1 4 1682
1 5 3912
1 6 3074
1 7 1545
1 8 1421
1 9 3552
1 10 431
1 11 4064
1 12 6226
1 13 4750
1 14 1589
1 15 532
1 16 2952
1 17 2379
1 18 5078
1 19 6116
1 20 6798
1 21 3220
1 22 4912
1 23 1664
1 24 1538
1 25 5432
1 26 2570
1 27 3627
1 28 5294
1 29 4088
1 30 5421
1 31 1446
1 32 916
1 33 3101
1 34 1151
1 35 5557
1 36 5347
1 37 5614
1 38 6017
1 39 2940
1 40 3347
1 41 3608
1 42 4231
1 43 4179
1 44 4463
1 45 987
1 46 3784
1 47 3488
1 48 4420
1 49 4702
1 50 521
1 51 3405
1 52 4830
1 53 3326
1 54 5489
1 55 5247
1 56 5149
1 57 5636
1 58 4699
1 59 5779
1 60 3068
1 61 6147
1 62 6718
1 63 1900
1 64 3968
1 65 5808
1 66 1729
1 67 3700
1 68 4016
1 69 1242
1 70 2764
1 71 3885
1 72 3016
1 73 1077
1 74 4252
1 75 5280
1 76 3064
1 77 284
1 78 4696
1 79 1631
1 80 4720
1 81 757
1 82 5310
1 83 6957
1 84 3994
1 85 3774
1 86 2739
1 87 2689
1 88 5260
1 89 4681
1 90 1545
1 91 3378
1 92 4170
1 93 1938
1 94 4581
1 95 1876
1 96 5938
1 97 2468
1 98 3473
1 99 3229
1 100 5915
2 1 5521
2 2 0
2 3 839
2 4 6797
2 5 2448
2 6 4467
2 7 4791
2 8 6639
2 9 2175
2 10 5119
2 11 2531
2 12 2606
2 13 2747
2 14 4070
2 15 5960
2 16 5865
2 17 4773
2 18 2469
2 19 1258
2 20 2399
2 21 4857
2 22 2426
2 23 4727
2 24 4032
2 25 2989
2 26 3685
2 27 2996
2 28 2529
2 29 4887
2 30 3721
2 31 4074
2 32 6272
2 33 3895
2 34 6626
2 35 936
2 36 816
2 37 6846
2 38 2566
2 39 4486
2 40 5633
2 41 3494
2 42 1867
2 43 1342
2 44 1458
2 45 4879
2 46 1768
2 47 3625
2 48 1237
2 49 1114
2 50 5002
2 51 3674
2 52 1724
2 53 3301
2 54 872
2 55 5433
2 56 831
2 57 2167
2 58 1843
2 59 1053
2 60 4222
2 61 2422
2 62 1752
2 63 5217
2 64 2902
2 65 592
2 66 4111
2 67 5523
2 68 2475
2 69 5642
2 70 2985
2 71 4228
2 72 4429
2 73 5315
2 74 3960
2 75 1270
2 76 2552
2 77 5524
2 78 3325
2 79 6795
2 80 2908
2 81 4859
2 82 2124
2 83 2140
2 84 2457
2 85 4758
2 86 4490
2 87 3015
2 88 3170
2 89 3150
2 90 7021
2 91 3786
2 92 3006
2 93 4203
2 94 5180
2 95 3673
2 96 3594
2 97 4489
2 98 3177
2 99 4027
2 100 401
3 1 5610
3 2 839
3 3 0
3 4 7020
3 5 3057
3 6 5001
3 7 4667
3 8 6836
3 9 2604
3 10 5237
3 11 3179
3 12 3443
3 13 3505
3 14 4290
3 15 6087
3 16 6345
3 17 4502
3 18 1745
3 19 2051
3 20 3184
3 21 5406
3 22 1740
3 23 4586
3 24 4076
3 25 3803
3 26 4108
3 27 3585
3 28 3341
3 29 5535
3 30 2967
3 31 4183
3 32 6427
3 33 4428
3 34 6749
3 35 119
3 36 1641
3 37 7544
3 38 3405
3 39 4126
3 40 6171
3 41 3050
3 42 2495
3 43 1591
3 44 1176
3 45 5093
3 46 2094
3 47 3198
3 48 1203
3 49 907
3 50 5104
3 51 3262
3 52 1129
3 53 2943
3 54 1709
3 55 6167
3 56 464
3 57 3003
3 58 2584
3 59 1884
3 60 4755
3 61 3258
3 62 2464
3 63 5584
3 64 2422
3 65 1390
3 66 4387
3 67 6105
3 68 3110
3 69 5544
3 70 2901
3 71 3709
3 72 4057
3 73 5563
3 74 3379
3 75 552
3 76 2864
3 77 5569
3 78 4071
3 79 7007
3 80 3662
3 81 5014
3 82 2943
3 83 2861
3 84 2036
3 85 5375
3 86 4165
3 87 2957
3 88 2422
3 89 3897
3 90 7047
3 91 3372
3 92 3688
3 93 4064
3 94 5867
3 95 3849
3 96 4423
3 97 4213
3 98 3746
3 99 4582
3 100 987
4 1 1682
4 2 6797
4 3 7020
4 4 0
4 5 4781
4 6 3237
4 7 3220
4 8 278
4 9 4666
4 10 1896
4 11 4871
4 12 6963
4 13 5412
4 14 2736
4 15 1162
4 16 2341
4 17 4035
4 18 6687
4 19 7172
4 20 7659
4 21 3166
4 22 6519
4 23 3340
4 24 3084
4 25 6019
4 26 3304
4 27 4349
4 28 6005
4 29 3998
4 30 7096
4 31 2885
