set N := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 163 164 165 166 167 168 169 170 171 172 173 174 175 176 177 178 179 180 181 182 183 184 185 186 187 188 189 190 191 192 193 194 195 196 197 198 199 200 201 202 203 204 205 206 207 208 209 210 211 212 213 214 215 216 217 218 219 220 221 222 223 224 225 226 227 228 229 230 231 232 233 234 235 236 237 238 239 240 241 242 243 244 245 246 247 248 249 250 ;
set M := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 163 164 165 166 167 168 169 170 171 172 173 174 175 176 177 178 179 180 181 182 183 184 185 186 187 188 189 190 191 192 193 194 195 196 197 198 199 200 201 202 203 204 205 206 207 208 209 210 211 212 213 214 215 216 217 218 219 220 221 222 223 224 225 226 227 228 229 230 231 232 233 234 235 236 237 238 239 240 241 242 243 244 245 246 247 248 249 250 ;
param d :=
1 1 1696
1 2 1309
1 3 1488
1 4 1235
1 5 1621
1 6 1657
1 7 1248
1 8 1025
1 9 1608
1 10 1930
1 11 1806
1 12 1978
1 13 1584
1 14 1332
1 15 1097
1 16 1157
1 17 1272
1 18 1469
1 19 1480
1 20 1447
1 21 1616
1 22 1194
1 23 1833
1 24 1408
1 25 1861
1 26 1500
1 27 1496
1 28 1564
1 29 1311
1 30 1368
1 31 1352
1 32 1281
1 33 1299
1 34 1976
1 35 1826
1 36 1912
1 37 1406
1 38 1178
1 39 1073
1 40 1337
1 41 1450
1 42 1654
1 43 1155
1 44 1570
1 45 1283
1 46 1641
1 47 1470
1 48 1594
1 49 1932
1 50 1649
1 51 1225
1 52 1064
1 53 1098
1 54 1073
1 55 1233
1 56 1048
1 57 1564
1 58 1103
1 59 1809
1 60 1455
1 61 1534
1 62 1835
1 63 1055
1 64 1312
1 65 1428
1 66 1996
1 67 1308
1 68 1541
1 69 1182
1 70 1189
1 71 1039
1 72 1392
1 73 1562
1 74 1060
1 75 1976
1 76 1194
1 77 1543
1 78 1292
1 79 1738
1 80 1576
1 81 1274
1 82 1840
1 83 1763
1 84 1812
1 85 1658
1 86 1307
1 87 1807
1 88 1456
1 89 1088
1 90 1864
1 91 1793
1 92 1906
1 93 1362
1 94 1638
1 95 1299
1 96 1073
1 97 1308
1 98 1945
1 99 1459
1 100 1801
1 101 1162
1 102 1301
1 103 1565
1 104 1187
1 105 1208
1 106 1607
1 107 1143
1 108 1475
1 109 1741
1 110 1406
1 111 1795
1 112 1668
1 113 1850
1 114 1636
1 115 1571
1 116 1511
1 117 1087
1 118 1770
1 119 1177
1 120 1019
1 121 1525
1 122 1756
1 123 1777
1 124 1181
1 125 1250
1 126 1661
1 127 1682
1 128 1020
1 129 1820
1 130 1430
1 131 1707
1 132 1651
1 133 1715
1 134 1656
1 135 1473
1 136 1497
1 137 1310
1 138 1783
1 139 1439
1 140 1318
1 141 1410
1 142 1630
1 143 1942
1 144 1216
1 145 1870
1 146 1657
1 147 1031
1 148 1261
1 149 1334
1 150 1872
1 151 1370
1 152 1904
1 153 1623
1 154 1784
1 155 1994
1 156 1826
1 157 1810
1 158 1319
1 159 1208
1 160 1390
1 161 1502
1 162 1088
1 163 1389
1 164 1334
1 165 1367
1 166 1926
1 167 1996
1 168 1881
1 169 1442
1 170 1109
1 171 1551
1 172 1911
1 173 1240
1 174 1146
1 175 1888
1 176 1350
1 177 1199
1 178 1557
1 179 1434
1 180 1445
1 181 1500
1 182 1549
1 183 1819
1 184 1059
1 185 1786
1 186 1985
1 187 1587
1 188 1670
1 189 1810
1 190 1559
1 191 1289
1 192 1202
1 193 1546
1 194 1589
1 195 1749
1 196 1372
1 197 1801
1 198 1317
1 199 1770
1 200 1678
1 201 1839
1 202 1139
1 203 1073
1 204 1720
1 205 1077
1 206 1667
1 207 1745
1 208 1978
1 209 1359
1 210 1022
1 211 1974
1 212 1725
1 213 1847
1 214 1274
1 215 1366
1 216 1214
1 217 1076
1 218 1426
1 219 1601
1 220 1820
1 221 1173
1 222 1859
1 223 1739
1 224 1257
1 225 1803
1 226 1634
1 227 1933
1 228 1568
1 229 1853
1 230 1563
1 231 1838
1 232 1007
1 233 1388
1 234 1453
1 235 1505
1 236 1495
1 237 1924
1 238 1435
1 239 1032
1 240 1792
1 241 1527
1 242 1767
1 243 1754
1 244 1046
1 245 1791
1 246 1046
1 247 1255
1 248 1881
1 249 1209
1 250 1206
2 1 1666
2 2 1980
2 3 1227
2 4 1783
2 5 1135
2 6 1779
2 7 1953
2 8 1998
2 9 1009
2 10 1519
2 11 1931
2 12 1650
2 13 1772
2 14 1636
2 15 1669
2 16 1254
2 17 1268
2 18 1938
2 19 1225
2 20 1677
2 21 1263
2 22 1539
2 23 1539
2 24 1781
2 25 1635
2 26 1904
2 27 1398
2 28 1141
2 29 1351
2 30 1558
2 31 1455
2 32 1615
2 33 1880
2 34 1468
2 35 1203
2 36 1050
2 37 1199
2 38 1637
2 39 1310
2 40 1904
2 41 1060
2 42 1949
2 43 1220
2 44 1061
2 45 1654
2 46 1782
2 47 1430
2 48 1633
2 49 1349
2 50 1435
2 51 1343
2 52 1012
2 53 1644
2 54 1884
2 55 1117
2 56 1970
2 57 1998
2 58 1915
2 59 1394
2 60 1081
2 61 1698
2 62 1154
2 63 1335
2 64 1240
2 65 1414
2 66 1029
2 67 1860
2 68 1574
2 69 1593
2 70 1194
2 71 1500
2 72 1519
2 73 1369
2 74 1449
2 75 1760
2 76 1334
2 77 1117
2 78 1686
2 79 1414
2 80 1860
2 81 1332
2 82 1885
2 83 1627
2 84 1774
2 85 1969
2 86 1709
2 87 1312
2 88 1142
2 89 1923
2 90 1709
2 91 1629
2 92 1541
2 93 1777
2 94 1682
2 95 1038
2 96 1538
2 97 1501
2 98 1212
2 99 1800
2 100 1798
2 101 1242
2 102 1926
2 103 1347
2 104 1616
2 105 1865
2 106 1484
2 107 1409
2 108 1137
2 109 1408
2 110 1861
2 111 1329
2 112 1061
2 113 1090
2 114 1916
2 115 1445
2 116 1109
2 117 1055
2 118 1818
2 119 1963
2 120 1023
2 121 1481
2 122 1327
2 123 1229
2 124 1392
2 125 1224
2 126 1483
2 127 1788
2 128 1087
2 129 1657
2 130 1724
2 131 1158
2 132 1570
2 133 1852
2 134 1963
2 135 1708
2 136 1876
2 137 1759
2 138 1673
2 139 1561
2 140 1543
2 141 1552
2 142 1476
2 143 1916
2 144 1267
2 145 1780
2 146 1310
2 147 1695
2 148 1568
2 149 1499
2 150 1669
2 151 1943
2 152 1246
2 153 1021
2 154 1967
2 155 1851
2 156 1912
2 157 1455
2 158 1557
2 159 1840
2 160 1372
2 161 1678
2 162 1424
2 163 1597
2 164 1143
2 165 1911
2 166 1094
2 167 1471
2 168 1884
2 169 1542
2 170 1791
2 171 1139
2 172 1035
2 173 1357
2 174 1360
2 175 1943
2 176 1417
2 177 1838
2 178 1009
2 179 1810
2 180 1108
2 181 1678
2 182 1378
2 183 1157
2 184 1350
2 185 1177
2 186 1983
2 187 1685
2 188 1785
2 189 1670
2 190 1558
2 191 1481
2 192 1784
2 193 1640
2 194 1332
2 195 1316
2 196 1178
2 197 1687
2 198 1762
2 199 1556
2 200 1134
2 201 1986
2 202 1769
2 203 1596
2 204 1498
2 205 1414
2 206 1993
2 207 1214
2 208 1353
2 209 1982
2 210 1107
2 211 1752
2 212 1092
2 213 1752
2 214 1717
2 215 1538
2 216 1782
2 217 1861
2 218 1884
2 219 1450
2 220 1100
2 221 1847
2 222 1797
2 223 1029
2 224 1620
2 225 1904
2 226 1621
2 227 1041
2 228 1741
2 229 1232
2 230 1066
2 231 1912
2 232 1023
2 233 1146
2 234 1697
2 235 1919
2 236 1226
2 237 1091
2 238 1516
2 239 1562
2 240 1827
2 241 1212
2 242 1857
2 243 1013
2 244 1291
2 245 1661
2 246 1113
2 247 1053
2 248 1893
2 249 1268
2 250 1337
3 1 1354
3 2 1749
3 3 1240
3 4 1831
3 5 1083
3 6 1107
3 7 1621
3 8 1032
3 9 1306
3 10 1374
3 11 1763
3 12 1522
3 13 1857
3 14 1357
3 15 1818
3 16 1624
3 17 1919
3 18 1540
3 19 1723
3 20 1852
3 21 1494
3 22 1808
3 23 1667
3 24 1619
3 25 1880
3 26 1128
3 27 1651
3 28 1698
3 29 1940
3 30 1874
3 31 1164
3 32 1310
3 33 1449
3 34 1917
3 35 1511
3 36 1269
3 37 1283
3 38 1173
3 39 1820
3 40 1079
3 41 1752
3 42 1729
3 43 1265
3 44 1398
3 45 1847
3 46 1235
3 47 1534
3 48 1760
3 49 1682
3 50 1695
3 51 1066
3 52 1978
3 53 1918
3 54 1331
3 55 1102
3 56 1125
3 57 1441
3 58 1656
3 59 1072
3 60 1504
3 61 1089
3 62 1435
3 63 1345
3 64 1501
3 65 1695
3 66 1675
3 67 1890
3 68 1753
3 69 1236
3 70 1303
3 71 1859
3 72 1504
3 73 1364
3 74 1689
3 75 1641
3 76 1585
3 77 1110
3 78 1677
3 79 1400
3 80 1905
3 81 1028
3 82 1270
3 83 1652
3 84 1868
3 85 1567
3 86 1625
3 87 1883
3 88 1619
3 89 1964
3 90 1529
3 91 1771
3 92 1528
3 93 1410
3 94 1991
3 95 1013
3 96 1816
3 97 1807
3 98 1128
3 99 1312
3 100 1726
3 101 1863
3 102 1980
3 103 1539
3 104 1159
3 105 1834
3 106 1428
3 107 1615
3 108 1158
3 109 1670
3 110 1864
3 111 1131
3 112 1171
3 113 1873
3 114 1760
3 115 1245
3 116 1481
3 117 1817
3 118 1815
3 119 1888
3 120 1719
3 121 1842
3 122 1813
3 123 1803
3 124 1864
3 125 1879
3 126 1861
3 127 1461
3 128 1630
3 129 1905
3 130 1161
3 131 1369
3 132 1663
3 133 1994
3 134 1970
3 135 1814
3 136 1428
3 137 1259
3 138 1905
3 139 1569
3 140 1224
3 141 1457
3 142 1254
3 143 1595
3 144 1199
3 145 1544
3 146 1441
3 147 1266
3 148 1805
3 149 1950
3 150 1304
3 151 1148
3 152 1574
3 153 1878
3 154 1354
3 155 1876
3 156 1631
3 157 1381
3 158 1645
3 159 1136
3 160 1852
3 161 1518
3 162 1442
3 163 1310
3 164 1068
3 165 1362
3 166 1319
3 167 1795
3 168 1228
3 169 1144
3 170 1856
3 171 1540
3 172 1920
3 173 1307
3 174 1590
3 175 1819
3 176 1162
3 177 1770
3 178 1371
3 179 1791
3 180 1862
3 181 1152
3 182 1781
3 183 1856
3 184 1866
3 185 1277
3 186 1781
3 187 1356
3 188 1986
3 189 1703
3 190 1226
3 191 1641
3 192 1920
3 193 1579
3 194 1419
3 195 1039
3 196 1477
3 197 1609
3 198 1353
3 199 1752
3 200 1003
3 201 1399
3 202 1800
3 203 1221
3 204 1416
3 205 1963
3 206 1894
3 207 1984
3 208 1764
3 209 1688
3 210 1390
3 211 1552
3 212 1703
3 213 1518
3 214 1214
3 215 1355
3 216 1807
3 217 1655
3 218 1504
3 219 1264
3 220 1111
3 221 1542
3 222 1767
3 223 1737
3 224 1804
3 225 1428
3 226 1322
3 227 1117
3 228 1459
3 229 1282
3 230 1683
3 231 1107
3 232 1732
3 233 1341
3 234 1036
3 235 1963
3 236 1912
3 237 1073
3 238 1471
3 239 1427
3 240 1242
3 241 1842
3 242 1117
3 243 1938
3 244 1413
3 245 1049
3 246 1851
3 247 1149
3 248 1140
3 249 1030
3 250 1712
4 1 1224
4 2 1499
4 3 1713
4 4 1340
4 5 1004
4 6 1812
4 7 1162
4 8 1761
4 9 1612
4 10 1835
4 11 1198
4 12 1442
4 13 1925
4 14 1693
4 15 1647
4 16 1772
4 17 1641
4 18 1192
4 19 1904
4 20 1645
4 21 1362
4 22 1182
4 23 1956
4 24 1996
4 25 1104
4 26 1650
4 27 1223
4 28 1895
4 29 1139
4 30 1828
4 31 1379
4 32 1734
4 33 1571
4 34 1082
4 35 1789
4 36 1522
4 37 1555
4 38 1883
4 39 1732
4 40 1844
4 41 1566
4 42 1626
4 43 1068
4 44 1492
4 45 1620
4 46 1584
4 47 1495
4 48 1309
4 49 1864
4 50 1781
4 51 1062
4 52 1286
4 53 1422
4 54 1062
4 55 1087
4 56 1425
4 57 1924
4 58 1135
4 59 1142
4 60 1410
4 61 1612
4 62 1882
4 63 1257
4 64 1620
4 65 1432
4 66 1707
4 67 1002
4 68 1513
4 69 1019
4 70 1201
4 71 1604
4 72 1897
4 73 1982
4 74 1921
4 75 1746
4 76 1150
4 77 1391
4 78 1549
4 79 1223
4 80 1894
4 81 1877
4 82 1208
4 83 1091
4 84 1159
4 85 1251
4 86 1245
4 87 1476
4 88 1584
4 89 1048
4 90 1222
4 91 1700
4 92 1662
4 93 1894
4 94 1431
4 95 1880
4 96 1585
4 97 1115
4 98 1692
4 99 1641
4 100 1696
4 101 1492
4 102 1729
4 103 1133
4 104 1103
4 105 1554
4 106 1894
4 107 1966
4 108 1466
4 109 1339
4 110 1530
4 111 1258
4 112 1501
4 113 1003
4 114 1747
4 115 1421
4 116 1226
4 117 1211
4 118 1899
4 119 1867
4 120 1487
4 121 1686
4 122 1537
4 123 1273
4 124 1781
4 125 1854
4 126 1119
4 127 1564
4 128 1930
4 129 1962
4 130 1266
4 131 1276
4 132 1614
4 133 1599
4 134 1840
4 135 1456
4 136 1307
4 137 1005
4 138 1622
4 139 1744
4 140 1646
4 141 1099
4 142 1874
4 143 1804
4 144 1762
4 145 1602
4 146 1577
4 147 1761
4 148 1607
4 149 1192
4 150 1599
4 151 1788
4 152 1803
4 153 1077
4 154 1611
4 155 1516
4 156 1048
4 157 1892
4 158 1997
4 159 1406
4 160 1616
4 161 1346
4 162 1561
4 163 1757
4 164 1964
4 165 1498
4 166 1311
4 167 1490
4 168 1005
4 169 1091
4 170 1089
4 171 1374
4 172 1049
4 173 1836
4 174 1337
4 175 1850
4 176 1964
4 177 1059
4 178 1784
4 179 1103
4 180 1577
4 181 1619
4 182 1325
4 183 1547
4 184 1860
4 185 1491
4 186 1882
4 187 1365
4 188 1905
4 189 1939
4 190 1522
4 191 1285
4 192 1257
4 193 1669
4 194 1616
4 195 1217
4 196 1600
4 197 1878
4 198 1327
4 199 1932
4 200 1353
4 201 1597
4 202 1187
4 203 1434
4 204 1195
4 205 1246
4 206 1078
4 207 1164
4 208 1049
4 209 1795
4 210 1361
4 211 1720
4 212 1569
4 213 1445
4 214 1465
4 215 1231
4 216 1639
4 217 1231
4 218 1694
4 219 1039
4 220 1946
4 221 1457
4 222 1558
4 223 1860
4 224 1125
4 225 1368
4 226 1378
4 227 1068
4 228 1531
4 229 1959
4 230 1476
4 231 1264
4 232 1161
4 233 1341
4 234 1713
4 235 1783
4 236 1757
4 237 1557
4 238 1664
4 239 1296
4 240 1620
4 241 1259
4 242 1207
4 243 1166
4 244 1169
4 245 1155
4 246 1810
4 247 1713
4 248 1780
4 249 1629
4 250 1297
5 1 1925
5 2 1439
5 3 1375
5 4 1570
5 5 1149
5 6 1906
5 7 1697
5 8 1005
5 9 1924
5 10 1491
5 11 1755
5 12 1745
5 13 1897
5 14 1173
5 15 1370
5 16 1561
5 17 1566
5 18 1529
5 19 1068
5 20 1578
5 21 1930
5 22 1934
5 23 1127
5 24 1276
5 25 1123
5 26 1768
5 27 1562
5 28 1642
5 29 1578
5 30 1051
5 31 1848
5 32 1138
5 33 1748
5 34 1411
5 35 1649
5 36 1639
5 37 1912
5 38 1783
5 39 1332
5 40 1004
5 41 1102
5 42 1758
5 43 1568
5 44 1419
5 45 1683
5 46 1971
5 47 1768
5 48 1189
5 49 1608
5 50 1451
5 51 1670
5 52 1123
5 53 1894
5 54 1333
5 55 1831
5 56 1167
5 57 1332
5 58 1831
5 59 1325
5 60 1453
5 61 1985
5 62 1892
5 63 1409
5 64 1405
5 65 1482
5 66 1427
5 67 1461
5 68 1070
5 69 1655
5 70 1527
5 71 1948
5 72 1323
5 73 1543
5 74 1574
5 75 1722
5 76 1108
5 77 1299
5 78 1649
5 79 1422
5 80 1370
5 81 1027
5 82 1146
5 83 1253
5 84 1823
5 85 1078
5 86 1999
5 87 1938
5 88 1235
5 89 1852
5 90 1423
5 91 1112
5 92 1359
5 93 1608
5 94 1579
5 95 1950
5 96 1182
5 97 1347
5 98 1075
5 99 1301
5 100 1647
5 101 1275
5 102 1697
5 103 1114
5 104 1499
5 105 1882
5 106 1282
5 107 1434
5 108 1418
5 109 1182
5 110 1147
5 111 1756
5 112 1086
5 113 1120
5 114 1965
5 115 1011
5 116 1355
5 117 1709
5 118 1508
5 119 1970
5 120 1161
5 121 1896
5 122 1154
5 123 1340
5 124 1356
5 125 1710
5 126 1570
5 127 1345
5 128 1092
5 129 1720
5 130 1474
5 131 1064
5 132 1935
5 133 1325
5 134 1885
5 135 1308
5 136 1352
5 137 1911
5 138 1760
5 139 1323
5 140 1734
5 141 1422
5 142 1441
5 143 1096
5 144 1603
5 145 1344
5 146 1794
5 147 1541
5 148 1173
5 149 1667
5 150 1467
5 151 1359
5 152 1904
5 153 1834
5 154 1168
5 155 1835
5 156 1220
5 157 1213
5 158 1355
5 159 1377
5 160 1041
5 161 1136
5 162 1273
5 163 1050
5 164 1281
5 165 1013
5 166 1712
5 167 1912
5 168 1983
5 169 1577
5 170 1415
5 171 1418
5 172 1223
5 173 1769
5 174 1535
5 175 1678
5 176 1468
5 177 1310
5 178 1046
5 179 1847
5 180 1517
5 181 1490
5 182 1514
5 183 1439
5 184 1706
5 185 1191
5 186 1136
5 187 1827
5 188 1510
5 189 1692
5 190 1455
5 191 1732
5 192 1215
5 193 1282
5 194 1653
5 195 1966
5 196 1815
5 197 1206
5 198 1833
5 199 1216
5 200 1774
5 201 1984
5 202 1185
5 203 1153
5 204 1834
5 205 1626
5 206 1466
5 207 1643
5 208 1506
5 209 1786
5 210 1669
5 211 1340
5 212 1405
5 213 1371
5 214 1317
5 215 1453
5 216 1089
5 217 1649
5 218 1263
5 219 1953
5 220 1563
5 221 1380
5 222 1421
5 223 1005
5 224 1083
5 225 1006
5 226 1327
5 227 1927
5 228 1444
5 229 1425
5 230 1932
5 231 1416
5 232 1388
5 233 1391
5 234 1541
5 235 1368
5 236 1298
5 237 1055
5 238 1301
5 239 1037
5 240 1828
5 241 1696
5 242 1141
5 243 1836
5 244 1636
5 245 1161
5 246 1578
5 247 1551
5 248 1858
5 249 1047
5 250 1285
6 1 1501
6 2 1167
6 3 1837
6 4 1697
6 5 1394
6 6 1309
6 7 1537
6 8 1451
6 9 1860
6 10 1849
6 11 1725
6 12 1613
6 13 1770
6 14 1216
6 15 1483
6 16 1309
6 17 1124
6 18 1773
6 19 1139
6 20 1814
6 21 1823
6 22 1120
6 23 1471
6 24 1558
6 25 1793
6 26 1364
6 27 1028
6 28 1787
6 29 1098
6 30 1379
